country_iso3,year,country_name,gdp_per_capita_ppp_constant_2021_intl_dollars,gini_index,unemployment_rate_pct
BGD,2017,Bangladesh,6005.7,,4.4
BGD,2018,Bangladesh,6392.6,,4.4
BGD,2019,Bangladesh,6838.3,,4.5
BGD,2020,Bangladesh,7015.2,,5.5
BGD,2021,Bangladesh,7441.1,,5.5
BGD,2022,Bangladesh,7888.2,30.9,4.6
BGD,2023,Bangladesh,8242.4,,3.4
BGR,2015,Bulgaria,24562.8,38.6,9.1
BGR,2016,Bulgaria,25636.9,40.6,7.6
BGR,2017,Bulgaria,26691.9,40.4,6.2
BGR,2018,Bulgaria,27691.0,41.3,5.2
BGR,2019,Bulgaria,29150.0,40.3,4.1
BGR,2020,Bulgaria,28521.3,40.5,5.0
BGR,2021,Bulgaria,30959.1,39.0,5.2
BGR,2022,Bulgaria,32433.8,38.2,4.1
BGR,2023,Bulgaria,33073.8,39.5,4.3
BHR,2015,Bahrain,54149.9,,1.2
BHR,2016,Bahrain,54107.1,,1.2
BHR,2017,Bahrain,53859.8,,1.2
BHR,2018,Bahrain,54893.1,,1.2
BHR,2019,Bahrain,56750.0,,1.2
BHR,2020,Bahrain,53814.2,,1.8
BHR,2021,Bahrain,54954.7,,1.5
BHR,2022,Bahrain,57573.0,,1.3
BHR,2023,Bahrain,57819.9,,1.0
BHS,2015,"Bahamas, The",32777.6,,12.0
BHS,2016,"Bahamas, The",32172.3,,12.7
BHS,2017,"Bahamas, The",33050.0,,9.8
BHS,2018,"Bahamas, The",33650.2,,10.0
BHS,2019,"Bahamas, The",33202.5,,9.3
BHS,2020,"Bahamas, The",26452.7,,12.0
BHS,2021,"Bahamas, The",31064.7,,11.1
BHS,2022,"Bahamas, The",34342.9,,9.2
BHS,2023,"Bahamas, The",35221.3,,8.6
BIH,2015,Bosnia and Herzegovina,14220.1,32.9,27.7
BIH,2016,Bosnia and Herzegovina,14873.7,,25.4
BIH,2017,Bosnia and Herzegovina,15554.7,,20.5
BIH,2018,Bosnia and Herzegovina,16349.1,,18.4
BIH,2019,Bosnia and Herzegovina,17029.4,,15.7
BIH,2020,Bosnia and Herzegovina,16747.1,,15.9
BIH,2021,Bosnia and Herzegovina,18286.7,30.3,14.9
BIH,2022,Bosnia and Herzegovina,19298.2,,12.7
BIH,2023,Bosnia and Herzegovina,19805.0,,10.7
BLR,2015,Belarus,25513.2,25.6,5.9
BLR,2016,Belarus,24846.8,25.3,5.8
BLR,2017,Belarus,25504.0,25.4,5.6
BLR,2018,Belarus,26363.5,25.2,4.8
BLR,2019,Belarus,26798.8,25.3,4.2
BLR,2020,Belarus,26731.5,24.4,4.0
BLR,2021,Belarus,27611.2,,3.9
BLR,2022,Belarus,26537.5,,3.6
BLR,2023,Belarus,27782.4,,3.5
BLZ,2015,Belize,12348.8,,7.6
BLZ,2016,Belize,12063.1,,7.0
BLZ,2017,Belize,11572.3,,6.6
BLZ,2018,Belize,11451.9,39.9,9.3
BLZ,2019,Belize,11766.0,,9.1
BLZ,2020,Belize,10045.1,,10.8
BLZ,2021,Belize,11716.3,,10.3
BLZ,2022,Belize,12565.4,,8.7
BLZ,2023,Belize,12371.0,,8.3
BMU,2015,Bermuda,93859.9,,
BMU,2016,Bermuda,93265.1,,
BMU,2017,Bermuda,96437.2,,
BMU,2018,Bermuda,95639.2,,
BMU,2019,Bermuda,95519.9,,
BMU,2020,Bermuda,88618.1,,
BMU,2021,Bermuda,92319.7,,
BMU,2022,Bermuda,98145.2,,
BMU,2023,Bermuda,103052.3,,
BOL,2015,Bolivia,11144.6,46.7,3.1
BOL,2016,Bolivia,11448.0,45.2,3.5
BOL,2017,Bolivia,11755.3,44.6,3.7
BOL,2018,Bolivia,11920.3,42.6,3.5
BOL,2019,Bolivia,11930.9,41.6,3.7
BOL,2020,Bolivia,10285.7,43.6,7.9
BOL,2021,Bolivia,11202.4,40.9,5.1
BOL,2022,Bolivia,11487.7,41.2,3.6
BOL,2023,Bolivia,11616.2,42.1,3.0
BRA,2015,Brazil,18357.1,51.9,8.5
BRA,2016,Brazil,17620.9,53.4,11.6
BRA,2017,Brazil,17724.5,53.3,12.8
BRA,2018,Brazil,17917.7,53.9,12.3
BRA,2019,Brazil,18018.6,53.5,11.9
BRA,2020,Brazil,17327.5,48.8,13.7
BRA,2021,Brazil,18075.7,52.9,13.2
BRA,2022,Brazil,18554.0,51.9,9.2
BRA,2023,Brazil,19079.8,51.5,7.9
BRB,2015,Barbados,20667.0,,9.8
BRB,2016,Barbados,20930.6,34.1,8.2
BRB,2017,Barbados,21035.8,,8.6
BRB,2018,Barbados,20727.4,,8.3
BRB,2019,Barbados,20738.0,,8.4
BRB,2020,Barbados,17728.1,,10.6
BRB,2021,Barbados,17682.7,,11.0
BRB,2022,Barbados,20716.3,,7.3
BRB,2023,Barbados,21318.7,,6.5
BRN,2015,Brunei Darussalam,81910.2,,7.7
BRN,2016,Brunei Darussalam,78880.6,,8.5
BRN,2017,Brunei Darussalam,78966.9,,9.3
BRN,2018,Brunei Darussalam,78099.1,,8.7
BRN,2019,Brunei Darussalam,80228.2,,6.6
BRN,2020,Brunei Darussalam,80280.9,,7.4
BRN,2021,Brunei Darussalam,78248.8,,4.9
BRN,2022,Brunei Darussalam,76357.8,,5.2
BRN,2023,Brunei Darussalam,76616.7,,5.3
BTN,2015,Bhutan,12400.3,,2.4
BTN,2016,Bhutan,13321.0,,2.7
BTN,2017,Bhutan,13482.3,37.4,3.0
BTN,2018,Bhutan,13854.9,,3.4
BTN,2019,Bhutan,14555.2,,2.7
BTN,2020,Bhutan,12979.9,,5.0
BTN,2021,Bhutan,13458.8,,4.8
BTN,2022,Bhutan,14061.3,28.5,5.9
BTN,2023,Bhutan,14610.3,,3.1
BWA,2015,Botswana,15995.0,54.9,18.9
BWA,2016,Botswana,16905.6,,19.3
BWA,2017,Botswana,17352.9,,19.7
BWA,2018,Botswana,17825.0,,19.7
BWA,2019,Botswana,18106.0,,20.1
BWA,2020,Botswana,16289.4,,21.0
BWA,2021,Botswana,17960.6,,23.1
BWA,2022,Botswana,18647.4,,23.6
BWA,2023,Botswana,18932.5,,23.4
CAF,2015,Central African Republic,1043.9,,5.8
CAF,2016,Central African Republic,1073.9,,5.8
CAF,2017,Central African Republic,1103.9,,5.8
CAF,2018,Central African Republic,1125.7,,5.8
CAF,2019,Central African Republic,1145.1,,5.9
CAF,2020,Central African Republic,1136.6,,6.5
CAF,2021,Central African Republic,1128.6,43.0,6.7
CAF,2022,Central African Republic,1136.8,,6.3
CAF,2023,Central African Republic,1132.7,,6.2
CAN,2015,Canada,55660.9,33.7,6.9
CAN,2016,Canada,55606.2,32.7,7.0
CAN,2017,Canada,56612.3,33.3,6.4
CAN,2018,Canada,57337.5,32.5,5.8
CAN,2019,Canada,57583.8,31.8,5.7
CAN,2020,Canada,54092.9,29.9,9.7
CAN,2021,Canada,56995.1,31.1,7.5
CAN,2022,Canada,58321.1,31.5,5.3
CAN,2023,Canada,57517.4,,5.4
CEB,2015,Central Europe and the Baltics,32054.3,,7.8
CEB,2016,Central Europe and the Baltics,33063.4,,6.5
CEB,2017,Central Europe and the Baltics,34898.9,,5.3
CEB,2018,Central Europe and the Baltics,36731.4,,4.3
CEB,2019,Central Europe and the Baltics,38302.3,,3.8
CEB,2020,Central Europe and the Baltics,37280.3,,4.3
CEB,2021,Central Europe and the Baltics,40122.5,,4.4
CEB,2022,Central Europe and the Baltics,41834.7,,4.0
CEB,2023,Central Europe and the Baltics,42109.7,,4.0
CHE,2015,Switzerland,76566.1,32.3,4.8
CHE,2016,Switzerland,77301.2,33.0,4.9
CHE,2017,Switzerland,77626.9,32.7,4.8
CHE,2018,Switzerland,79261.4,33.1,4.7
CHE,2019,Switzerland,79596.7,34.0,4.4
CHE,2020,Switzerland,77324.9,33.7,4.8
CHE,2021,Switzerland,81001.4,33.8,5.0
CHE,2022,Switzerland,82777.3,33.8,4.1
CHE,2023,Switzerland,82295.3,,4.0
CHI,2015,Channel Islands,,,7.9
CHI,2016,Channel Islands,,,7.5
CHI,2017,Channel Islands,,,6.9
CHI,2018,Channel Islands,,,6.3
CHI,2019,Channel Islands,,,6.2
CHI,2020,Channel Islands,,,6.6
CHI,2021,Channel Islands,,,6.6
CHI,2022,Channel Islands,,,5.9
CHI,2023,Channel Islands,,,5.9
CHL,2015,Chile,27811.4,45.3,6.6
CHL,2016,Chile,27958.7,,6.9
CHL,2017,Chile,27893.0,45.3,7.3
CHL,2018,Chile,28492.7,,7.6
CHL,2019,Chile,28218.5,,7.5
CHL,2020,Chile,26248.6,47.0,10.9
CHL,2021,Chile,29089.9,,9.3
CHL,2022,Chile,29569.5,43.2,8.2
CHL,2023,Chile,29563.7,,9.0
CHN,2015,China,14856.8,38.6,4.6
CHN,2016,China,15772.8,38.5,4.6
CHN,2017,China,16758.0,39.1,4.5
CHN,2018,China,17806.8,38.5,4.3
CHN,2019,China,18820.5,38.2,4.6
CHN,2020,China,19215.2,37.1,5.0
CHN,2021,China,20843.3,35.7,4.6
CHN,2022,China,21499.4,36.0,5.0
CHN,2023,China,22687.1,,4.7
CIV,2015,Cote d'Ivoire,5110.9,41.5,2.6
CIV,2016,Cote d'Ivoire,5320.8,,1.9
CIV,2017,Cote d'Ivoire,5556.1,,3.3
CIV,2018,Cote d'Ivoire,5670.2,37.2,2.9
CIV,2019,Cote d'Ivoire,5894.9,,2.4
CIV,2020,Cote d'Ivoire,5787.8,,2.6
CIV,2021,Cote d'Ivoire,6045.2,35.3,2.6
CIV,2022,Cote d'Ivoire,6272.3,,2.3
CIV,2023,Cote d'Ivoire,6520.9,,2.3
CMR,2015,Cameroon,4698.7,,3.5
CMR,2016,Cameroon,4767.1,,3.5
CMR,2017,Cameroon,4798.0,,3.6
CMR,2018,Cameroon,4851.5,,3.6
CMR,2019,Cameroon,4882.4,,3.6
CMR,2020,Cameroon,4763.5,,3.9
CMR,2021,Cameroon,4793.6,42.2,4.0
CMR,2022,Cameroon,4843.7,,3.6
CMR,2023,Cameroon,4875.3,,3.6
COD,2015,"Congo, Dem. Rep.",1433.2,,4.4
COD,2016,"Congo, Dem. Rep.",1388.8,,4.5
COD,2017,"Congo, Dem. Rep.",1395.7,,4.6
COD,2018,"Congo, Dem. Rep.",1431.7,,4.6
COD,2019,"Congo, Dem. Rep.",1394.8,,4.6
COD,2020,"Congo, Dem. Rep.",1361.0,44.7,5.4
COD,2021,"Congo, Dem. Rep.",1402.4,,5.3
COD,2022,"Congo, Dem. Rep.",1484.3,,4.5
COD,2023,"Congo, Dem. Rep.",1559.3,,4.5
COG,2015,"Congo, Rep.",8977.7,,20.0
COG,2016,"Congo, Rep.",8001.8,,20.3
COG,2017,"Congo, Rep.",7372.8,,20.7
COG,2018,"Congo, Rep.",7029.3,,20.8
COG,2019,"Congo, Rep.",6939.4,,20.5
COG,2020,"Congo, Rep.",6350.5,,22.3
COG,2021,"Congo, Rep.",6263.2,,22.0
COG,2022,"Congo, Rep.",6205.1,,20.1
COG,2023,"Congo, Rep.",6172.3,,19.9
COL,2015,Colombia,16821.4,52.0,8.6
COL,2016,Colombia,17003.2,51.7,8.9
COL,2017,Colombia,16986.0,50.9,9.1
COL,2018,Colombia,17104.1,51.6,9.4
COL,2019,Colombia,17336.8,52.5,10.3
COL,2020,Colombia,15861.5,54.4,16.0
COL,2021,Colombia,17383.1,55.1,13.9
COL,2022,Colombia,18458.7,54.8,10.5
COL,2023,Colombia,18383.0,54.6,9.6
COM,2015,Comoros,3302.4,,4.0
COM,2016,Comoros,3342.8,,4.1
COM,2017,Comoros,3401.9,,4.0
COM,2018,Comoros,3457.6,,4.0
COM,2019,Comoros,3451.4,,3.9
COM,2020,Comoros,3377.7,34.2,4.5
COM,2021,Comoros,3377.9,,4.4
COM,2022,Comoros,3399.3,,3.9
COM,2023,Comoros,3434.4,,3.8
CPV,2015,Cabo Verde,7560.1,42.4,11.9
