country_name_whr,year,happiness_score,country_iso3,social_spending_pct_gdp,country_name,gdp_per_capita_ppp_constant_2021_intl_dollars,gini_index,unemployment_rate_pct,civic_engagement_score,health_score,housing_score,job_security_score,safety_score,work_life_balance_score
Greece,2020,5.7,GRC,0.6,Greece,30487.1,33.6,15.9,1.8,81.7,21.8,21.7,69.0,4.5
Greece,2021,5.9,GRC,0.6,Greece,33531.2,32.9,14.7,1.8,81.7,21.8,21.7,69.0,4.5
Hungary,2015,5.1,HUN,0.4,Hungary,31485.6,30.4,6.8,1.2,76.4,19.9,3.8,74.0,1.5
Hungary,2016,5.3,HUN,0.4,Hungary,32379.0,30.3,5.1,1.2,76.4,19.9,3.8,74.0,1.5
Hungary,2017,5.6,HUN,0.4,Hungary,33828.7,30.6,4.2,1.2,76.4,19.9,3.8,74.0,1.5
Ireland,2021,7.0,IRL,1.6,Ireland,116903.6,29.4,6.4,1.3,82.8,20.6,2.6,76.0,4.7
Israel,2022,7.5,ISR,2.3,Israel,48098.2,38.3,3.7,2.5,82.9,,4.6,80.0,14.1
Italy,2021,6.5,ITA,1.1,Italy,49825.4,34.8,9.5,2.5,83.6,22.5,8.6,73.0,3.3
Latvia,2015,5.6,LVA,0.1,Latvia,30599.6,34.2,9.9,2.2,75.5,20.8,6.3,72.0,1.6
Latvia,2016,5.8,LVA,0.1,Latvia,31668.5,34.3,9.6,2.2,75.5,20.8,6.3,72.0,1.6
Latvia,2017,5.9,LVA,0.1,Latvia,33036.4,35.6,8.7,2.2,75.5,20.8,6.3,72.0,1.6
Latvia,2018,5.9,LVA,0.1,Latvia,34729.7,35.1,7.4,2.2,75.5,20.8,6.3,72.0,1.6
Latvia,2019,5.9,LVA,0.3,Latvia,35208.2,34.5,6.3,2.2,75.5,20.8,6.3,72.0,1.6
Latvia,2020,6.0,LVA,0.3,Latvia,34225.9,35.7,8.1,2.2,75.5,20.8,6.3,72.0,1.6
Latvia,2021,6.2,LVA,0.3,Latvia,36912.0,34.3,7.5,2.2,75.5,20.8,6.3,72.0,1.6
Lithuania,2015,5.8,LTU,0.2,Lithuania,35251.3,37.4,9.1,2.4,76.4,18.4,,62.0,1.0
Lithuania,2016,5.9,LTU,0.2,Lithuania,36618.1,38.4,7.9,2.4,76.4,18.4,,62.0,1.0
Lithuania,2017,6.0,LTU,0.2,Lithuania,38774.5,37.3,7.1,2.4,76.4,18.4,,62.0,1.0
Lithuania,2018,6.1,LTU,0.2,Lithuania,41019.8,35.7,6.1,2.4,76.4,18.4,,62.0,1.0
Lithuania,2019,6.2,LTU,0.3,Lithuania,43062.3,35.3,6.3,2.4,76.4,18.4,,62.0,1.0
Lithuania,2020,6.3,LTU,0.3,Lithuania,43091.8,36.0,8.5,2.4,76.4,18.4,,62.0,1.0
Lithuania,2021,6.4,LTU,0.4,Lithuania,45873.5,36.7,7.1,2.4,76.4,18.4,,62.0,1.0
Luxembourg,2015,6.9,LUX,0.2,Luxembourg,130097.3,32.9,6.8,1.7,82.7,20.7,2.2,87.0,2.8
Luxembourg,2016,6.9,LUX,0.2,Luxembourg,133661.6,31.7,6.7,1.7,82.7,20.7,2.2,87.0,2.8
Luxembourg,2017,6.9,LUX,0.2,Luxembourg,132169.8,34.5,5.5,1.7,82.7,20.7,2.2,87.0,2.8
Luxembourg,2018,7.1,LUX,0.2,Luxembourg,131733.9,35.4,5.6,1.7,82.7,20.7,2.2,87.0,2.8
Luxembourg,2019,7.2,LUX,0.2,Luxembourg,132724.8,34.2,5.6,1.7,82.7,20.7,2.2,87.0,2.8
Luxembourg,2020,7.3,LUX,0.2,Luxembourg,129865.6,33.4,6.8,1.7,82.7,20.7,2.2,87.0,2.8
Luxembourg,2021,7.4,LUX,0.2,Luxembourg,136772.4,32.7,5.6,1.7,82.7,20.7,2.2,87.0,2.8
Mexico,2016,6.6,MEX,0.4,Mexico,21578.3,46.9,3.9,3.2,75.1,17.8,4.0,42.0,27.0
Mexico,2018,6.6,MEX,0.4,Mexico,21997.8,46.0,3.3,3.2,75.1,17.8,4.0,42.0,27.0
Mexico,2020,6.3,MEX,0.5,Mexico,19728.5,44.6,4.4,3.2,75.1,17.8,4.0,42.0,27.0
Mexico,2022,6.3,MEX,0.5,Mexico,21391.9,43.5,3.3,3.2,75.1,17.8,4.0,42.0,27.0
Netherlands,2020,7.5,NLD,5.1,Netherlands,64862.2,26.0,3.8,2.6,82.2,19.6,2.5,83.0,0.3
Netherlands,2021,7.4,NLD,4.9,Netherlands,68573.6,25.7,4.2,2.6,82.2,19.6,2.5,83.0,0.3
Norway,2020,7.4,NOR,1.4,Norway,86096.1,28.4,4.4,2.2,83.0,17.7,2.8,93.0,1.4
Norway,2021,7.4,NOR,1.2,Norway,88984.1,29.1,4.4,2.2,83.0,17.7,2.8,93.0,1.4
Peru,2022,5.5,PER,0.5,Peru,15559.8,40.3,4.3,,,,,,
Poland,2020,6.2,POL,0.8,Poland,37852.8,28.5,3.2,2.6,78.0,21.2,5.0,71.0,4.2
Poland,2021,6.1,POL,0.8,Poland,41059.6,28.5,3.3,2.6,78.0,21.2,5.0,71.0,4.2
Portugal,2019,5.9,PRT,2.0,Portugal,40188.3,32.8,6.4,1.5,81.8,19.6,8.1,83.0,5.6
Portugal,2020,5.9,PRT,2.1,Portugal,36852.2,34.7,6.8,1.5,81.8,19.6,8.1,83.0,5.6
Romania,2020,6.1,ROU,0.1,Romania,35283.8,34.6,5.0,,,,,,
Romania,2021,6.5,ROU,0.1,Romania,37534.2,33.9,5.6,,,,,,
Slovakia,2015,6.1,SVK,0.9,Slovak Republic,33521.6,26.5,11.5,3.0,77.8,27.4,8.8,76.0,4.2
Slovakia,2016,6.1,SVK,0.9,Slovak Republic,34130.5,25.2,9.7,3.0,77.8,27.4,8.8,76.0,4.2
Slovakia,2017,6.2,SVK,0.9,Slovak Republic,35057.2,23.2,8.1,3.0,77.8,27.4,8.8,76.0,4.2
Slovakia,2018,6.2,SVK,0.8,Slovak Republic,36430.8,25.0,6.5,3.0,77.8,27.4,8.8,76.0,4.2
Slovakia,2019,6.3,SVK,0.9,Slovak Republic,37209.5,23.2,5.8,3.0,77.8,27.4,8.8,76.0,4.2
Slovakia,2020,6.3,SVK,0.9,Slovak Republic,36216.4,24.2,6.7,3.0,77.8,27.4,8.8,76.0,4.2
Slovakia,2021,6.4,SVK,0.9,Slovak Republic,38346.1,24.1,6.9,3.0,77.8,27.4,8.8,76.0,4.2
Slovenia,2015,5.8,SVN,1.4,Slovenia,38527.4,25.4,9.0,2.5,81.6,18.2,5.9,91.0,5.6
Slovenia,2016,5.8,SVN,1.3,Slovenia,39667.5,24.8,8.0,2.5,81.6,18.2,5.9,91.0,5.6
Slovenia,2017,5.9,SVN,1.3,Slovenia,41692.8,24.2,6.6,2.5,81.6,18.2,5.9,91.0,5.6
Slovenia,2018,6.1,SVN,1.3,Slovenia,43361.1,24.6,5.1,2.5,81.6,18.2,5.9,91.0,5.6
Slovenia,2019,6.4,SVN,1.3,Slovenia,44569.6,24.4,4.4,2.5,81.6,18.2,5.9,91.0,5.6
Slovenia,2020,6.5,SVN,1.4,Slovenia,42463.6,24.0,5.0,2.5,81.6,18.2,5.9,91.0,5.6
Slovenia,2021,6.6,SVN,1.3,Slovenia,45914.1,24.3,4.7,2.5,81.6,18.2,5.9,91.0,5.6
Spain,2021,6.5,ESP,1.3,Spain,44251.7,33.9,14.9,1.8,83.9,21.7,15.8,80.0,2.5
Sweden,2020,7.4,SWE,2.2,Sweden,59975.4,28.9,8.3,2.0,83.2,20.1,4.4,79.0,0.9
Sweden,2021,7.4,SWE,2.2,Sweden,62731.7,29.8,8.8,2.0,83.2,20.1,4.4,79.0,0.9
Switzerland,2020,7.6,CHE,2.1,Switzerland,77324.9,33.7,4.8,2.3,84.0,21.4,,86.0,0.4
Switzerland,2021,7.5,CHE,1.9,Switzerland,81001.4,33.8,5.0,2.3,84.0,21.4,,86.0,0.4
Türkiye,2020,4.9,TUR,0.2,Turkiye,28976.7,43.0,13.1,1.5,78.6,18.9,13.0,59.0,25.0
Türkiye,2021,4.7,TUR,0.2,Turkiye,32105.5,44.4,12.0,1.5,78.6,18.9,13.0,59.0,25.0
Türkiye,2022,4.6,TUR,0.2,Turkiye,33520.8,44.5,10.5,1.5,78.6,18.9,13.0,59.0,25.0
