country_name_whr,year,happiness_score,country_iso3,social_spending_pct_gdp,country_name,gdp_per_capita_ppp_constant_2021_intl_dollars,gini_index,unemployment_rate_pct,civic_engagement_score,health_score,housing_score,job_security_score,safety_score,work_life_balance_score
Canada,2019,7.23210000991821,CAN,6.038,Canada,57583.845798092,31.8,5.69,2.9,82.1,22.9,3.8,78.0,3.3
Canada,2020,7.103,CAN,6.236,Canada,54092.8790317796,29.9,9.657,2.9,82.1,22.9,3.8,78.0,3.3
Canada,2021,7.025,CAN,5.563,Canada,56995.1176781351,31.1,7.527,2.9,82.1,22.9,3.8,78.0,3.3
Canada,2022,6.961,CAN,5.082,Canada,58321.0611834624,31.5,5.279,2.9,82.1,22.9,3.8,78.0,3.3
Canada,2023,6.9,CAN,,Canada,57517.4431587432,,5.415,2.9,82.1,22.9,3.8,78.0,3.3
Central African Republic,2016,2.693,CAF,,Central African Republic,1073.94477703739,,5.793,,,,,,
Central African Republic,2017,3.083,CAF,,Central African Republic,1103.86609318724,,5.836,,,,,,
Central African Republic,2018,3.083,CAF,,Central African Republic,1125.70091748228,,5.825,,,,,,
Central African Republic,2019,3.47589993476868,CAF,,Central African Republic,1145.09563657752,,5.916,,,,,,
Chad,2015,3.763,TCD,,Chad,2822.57929900236,,1.032,,,,,,
Chad,2016,3.936,TCD,,Chad,2622.59780843796,,1.091,,,,,,
Chad,2017,4.301,TCD,,Chad,2496.26213644007,,1.132,,,,,,
Chad,2018,4.35,TCD,,Chad,2552.37036388576,37.5,1.135,,,,,,
Chad,2019,4.42269992828369,TCD,,Chad,2604.53153663392,,1.077,,,,,,
Chad,2020,4.355,TCD,,Chad,2513.02922729008,,1.695,,,,,,
Chad,2021,4.251,TCD,,Chad,2435.07274651099,,1.53,,,,,,
Chad,2022,4.397,TCD,,Chad,2449.48251052484,37.4,1.081,,,,,,
Chad,2023,4.471,TCD,,Chad,2433.09879153397,,1.059,,,,,,
Chile,2015,6.705,CHL,0.563,Chile,27811.3745158617,45.3,6.605,1.3,80.6,18.4,7.0,41.0,7.7
Chile,2016,6.652,CHL,0.578,Chile,27958.7284996682,,6.926,1.3,80.6,18.4,7.0,41.0,7.7
Chile,2017,6.476,CHL,0.595,Chile,27892.9946862827,45.3,7.257,1.3,80.6,18.4,7.0,41.0,7.7
Chile,2018,6.444,CHL,0.594,Chile,28492.6611456515,,7.623,1.3,80.6,18.4,7.0,41.0,7.7
Chile,2019,6.22849988937378,CHL,0.618,Chile,28218.5343879081,,7.493,1.3,80.6,18.4,7.0,41.0,7.7
Chile,2020,6.172,CHL,0.551,Chile,26248.5616432825,47.0,10.934,1.3,80.6,18.4,7.0,41.0,7.7
Chile,2021,6.172,CHL,0.666,Chile,29089.850459728,,9.281,1.3,80.6,18.4,7.0,41.0,7.7
